-63 -74
-62 -68
-73 -53
-46 -49
-47 -54
-42 -60
-25 -59
-36 -79
-22 -82
-11 -86
-7 -97
-6 -83
-3 -71
-3 -70
-5 -54
-16 -40
-25 -28
-17 -19
2 -9
0 -22
3 -25
6 -22
14 -37
19 -21
18 -10
14 2
29 -14
37 -9
40 -30
44 -29
51 -51
41 -49
38 -52
35 -55
42 -66
29 -73
15 -69
26 -87
29 -82
38 -80
38 -82
38 -85
40 -99
47 -92
58 -83
60 -75
86 -78
75 -70
69 -64
70 -47
87 -50
89 -53
100 -38
98 -36
96 -15
96 -11
82 -23
75 -16
73 -16
67 -15
49 -3
51 -2
51 1
44 13
34 18
30 28
35 36
57 38
58 36
55 27
57 14
61 15
68 19
74 7
82 17
97 25
93 35
89 37
74 47
79 49
84 71
86 71
84 80
88 85
92 94
68 93
60 94
64 74
56 73
42 83
35 85
13 98
9 81
25 63
34 61
33 51
12 43
-7 57
-9 65
-11 74
-15 88
-20 89
-28 76
-49 97
-72 95
-99 93
-97 81
-85 81
-85 69
-89 62
-97 50
-72 51
-72 53
-70 72
-62 74
-25 56
-33 44
-32 41
-28 41
-37 26
-30 22
-21 29
-15 28
-4 26
-9 4
-37 -2
-46 -4
-40 3
-49 13
-51 22
-52 23
-56 32
-60 24
-63 22
-72 24
-59 4
-51 -9
-44 -16
-47 -17
-66 -29
-70 -40
-78 -29
-86 -26
-84 -41
-97 -43
-87 -73
-70 -94
-68 -97
-65 -89
-61 -89
-63 -74
